Level,ParentPath,AssemblyPath,LineType,PartNumber,PartName,PartKey,QuantityInThisLine,Quantity_in_Parent,OccurrenceLabel,OccurrenceInternalName,Placement,LinkedObjectName,LinkedObjectLabel,Volume_mm3,Area_mm2,BoundingBox_mm,CenterOfMass
1,Sitz komplett,Sitz komplett/6Kant Mutter M012,Occurrence(Link),,6Kant Mutter M3,Solid058,10,10,6Kant Mutter M012,Link058,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid058,6Kant Mutter M3,50.36061943,102.2243016,5.5 x 6.350852961085883 x 2.4,"Vector (1.5986160472103108e-06, 7.080717089789204e-07, 1.199999444811951)"
0,,RÃ¼ckleuchte gross,Occurrence(Link),,RÃ¼ckleuchte gross,LinkGroup024,1,1,RÃ¼ckleuchte gross,LinkGroup024,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup024,RÃ¼ckleuchte gross,7907.344592,8214.252082,35.99999999999999 x 35.99999999999999 x 15.000000000000004,"Vector (-1.1296294245626819e-13, 1.065367349166584e-13, 6.603917462397558)"
1,RÃ¼ckleuchte gross,RÃ¼ckleuchte gross/Fassung gross,DirectPart,,Fassung gross,Solid076,1,1,Fassung gross,Solid076,"Placement [Pos=(-1.11022e-13,1.11022e-13,-3.33067e-13), Yaw-Pitch-Roll=(0,0,0)]",Solid076,Fassung gross,5581.277485,5379.4816,35.99999999999999 x 35.99999999999999 x 15.000000000000004,"Vector (-1.1348011235054926e-13, 9.366764020180442e-14, 5.019576588720539)"
1,RÃ¼ckleuchte gross,RÃ¼ckleuchte gross/Glas gross,DirectPart,,Glas gross,Solid077,1,1,Glas gross,Solid077,"Placement [Pos=(-1.11022e-13,1.38778e-13,13), Yaw-Pitch-Roll=(0,90,0)]",Solid077,Glas gross,2326.06545,2834.770482,34.5 x 34.5 x 5.000000000000005,"Vector (-1.1172201921117503e-13, 1.3741548279344246e-13, 10.405463994857868)"
0,,RÃ¼ckleuchte klein,Occurrence(Link),,RÃ¼ckleuchte klein,LinkGroup025,1,1,RÃ¼ckleuchte klein,LinkGroup025,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup025,RÃ¼ckleuchte klein,5635.778552,6893.178801,31.0 x 31.0 x 15.000000000000012,"Vector (-1.2302499315668112e-14, 1.5837310950152934e-13, 6.544545593351875)"
1,RÃ¼ckleuchte klein,RÃ¼ckleuchte klein/Fassung klein,DirectPart,,Fassung klein,Solid078,1,1,Fassung klein,Solid078,"Placement [Pos=(-1.38778e-14,1.66533e-13,-4.44089e-13), Yaw-Pitch-Roll=(0,0,0)]",Solid078,Fassung klein,3961.953395,4514.011649,31.0 x 31.0 x 14.999999999999998,"Vector (-1.7474432716279108e-14, 1.5626077154775394e-13, 4.911142889222112)"
1,RÃ¼ckleuchte klein,RÃ¼ckleuchte klein/Glas klein,DirectPart,,Glas klein,Solid079,1,1,Glas klein,Solid079,"Placement [Pos=(0,1.66533e-13,13), Yaw-Pitch-Roll=(0,90,0)]",Solid079,Glas klein,1673.823416,2379.167152,30.0 x 30.0 x 5.000000000000005,"Vector (-6.049164974744523e-17, 1.6337303030872273e-13, 10.410822839522487)"
0,,Benzineinlass,Occurrence(Link),,Benzineinlass,LinkGroup026,1,1,Benzineinlass,LinkGroup026,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup026,Benzineinlass,20170.08234,22378.11162,36.00000000000003 x 82.23974100949405 x 52.713799720856365,"Vector (-0.17139162642849298, -13.912694613559461, -18.546785088913317)"
1,Benzineinlass,Benzineinlass/Tankverschluss,DirectPart,,Tankverschluss,Solid081,1,1,Tankverschluss,Solid081,"Placement [Pos=(0,2.22045e-13,-5.55112e-14), Yaw-Pitch-Roll=(0,0,0)]",Solid081,Tankverschluss,4227.858378,3957.16124,36.00000000000001 x 35.94720289864047 x 8.000000000000002,"Vector (4.5855742579763344e-15, 2.1706030334702386e-13, 0.15664821402568493)"
1,Benzineinlass,Benzineinlass/Tankeinlass,DirectPart,,Tankeinlass,Solid082,1,1,Tankeinlass,Solid082,"Placement [Pos=(2.77556e-14,2.22045e-13,-5), Yaw-Pitch-Roll=(0,0,0)]",Solid082,Tankeinlass,4951.448801,4757.229623,36.0 x 36.0 x 27.06013520712968,"Vector (1.7265695711471266e-05, -0.2008787767723295, -11.205331421379306)"
1,Benzineinlass,Benzineinlass/M3x021,Occurrence(Link),,M3x16,Solid025,8,8,M3x021,Link074,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid025,M3x16,170.7897156,261.9933782,19.0 x 5.481214711536685 x 5.5,"Vector (4.755287903637331, 1.716138922843308e-16, -2.4039528905053452e-17)"
1,Benzineinlass,Benzineinlass/Tank-Schlauch,DirectPart,,Tank-Schlauch,Solid083,1,1,Tank-Schlauch,Solid083,"Placement [Pos=(0,-63.0481,-36.8149), Yaw-Pitch-Roll=(180,0,174)]",Solid083,Tank-Schlauch,8700.761497,9408.201601,22.722126440552078 x 73.63472765207837 x 33.74413845494499,"Vector (3.08909221258228e-15, -28.61258741929653, -33.2986473579783)"
1,Benzineinlass,Benzineinlass/Bride001,Occurrence(Link),,Bride,Solid084,2,2,Bride001,Link075,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid084,Bride,461.7892966,1079.786068,28.535378340711134 x 6.0 x 24.5,"Vector (6.463379724276968, -2.6773854150379578e-06, 0.21259791048257173)"
0,,Scheibenwischer komplett,Occurrence(Link),,Scheibenwischer komplett,LinkGroup029,1,1,Scheibenwischer komplett,LinkGroup029,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup029,Scheibenwischer komplett,1588.07672,3674.448043,125.07263123142951 x 20.629144231258234 x 6.0,"Vector (30.11054640007702, -0.38870465740735366, 8.18403645391859e-08)"
1,Scheibenwischer komplett,Scheibenwischer komplett/Scheibenwischer,DirectPart,,Scheibenwischer,Solid098,1,1,Scheibenwischer,Solid098,"Placement [Pos=(-2.77556e-14,2.77556e-14,5.55112e-14), Yaw-Pitch-Roll=(0,0,0)]",Solid098,Scheibenwischer,1298.125718,2220.057787,125.07263123142951 x 20.629144231258234 x 6.0,"Vector (36.83606499752868, -0.4832211090518846, 1.0012026033410799e-07)"
1,Scheibenwischer komplett,Scheibenwischer komplett/Scheibenwischer-Blatt,DirectPart,,Scheibenwischer-Blatt,Solid099,1,1,Scheibenwischer-Blatt,Solid099,"Placement [Pos=(-2.77556e-14,2.77556e-14,5.55112e-14), Yaw-Pitch-Roll=(0,0,0)]",Solid099,Scheibenwischer-Blatt,289.9505225,1454.390256,109.99999999999997 x 4.992076592934861 x 2.0,"Vector (6.085687145576014e-14, 0.03445111289883847, 1.8484952887416002e-13)"
0,,Nissan GT-R,Occurrence(Link),,Nissan GT-R,LinkGroup031,1,1,Nissan GT-R,LinkGroup031,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup031,Nissan GT-R,10599815.68,7596846.421,590.6509672537916 x 331.32434075195374 x 953.428080191119,"Vector (4.079847720049097, 158.91185876048576, -412.1281770138433)"
1,Nissan GT-R,Nissan GT-R/Fahrwerk,Occurrence(Link),,Fahrwerk,LinkGroup017,1,1,Fahrwerk,LinkGroup017,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup017,Fahrwerk,4374835.137,3265158.951,442.98142354863955 x 162.3999632133152 x 953.428080191119,"Vector (3.791572828814186, 105.64372565172036, -396.31735139176476)"
2,Nissan GT-R/Fahrwerk,Nissan GT-R/Fahrwerk/Rahmen komplett,Occurrence(Link),,Rahmen komplett,LinkGroup,1,1,Rahmen komplett,LinkGroup,"Placement [Pos=(3.9243,68.6694,-39.3145), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup,Rahmen komplett,1051109.729,755100.2418,326.00000000000006 x 146.50000000000364 x 774.61880215,"Vector (3.9243011482900356, 115.19588679697982, -395.5019870829127)"
3,Nissan GT-R/Fahrwerk/Rahmen komplett,Nissan GT-R/Fahrwerk/Rahmen komplett/Abdeckung hinten001,Occurrence(Link),,Abdeckung hinten,Solid,2,2,Abdeckung hinten001,Link,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid,Abdeckung hinten,7919.30587,32068.09164,157.99999999999997 x 136.50000000000009 x 0.5,"Vector (3.690273433644579, 10.710414802398162, 0.25)"
